date,time,latitude,longitude,depth,mag
2012/05/07,12:29:15 AM,27.565,58.672,10,4.1
2012/04/29,11:58:42 AM,28.811,57.421,90,4.4
2012/04/18,5:40:40 PM,27.941,58.063,72.3,5.1
2012/03/26,12:06:19 AM,27.721,58.834,74.6,4.9
2012/03/15,6:17:07 AM,32.09,55,8,4.5
2012/03/11,5:00:07 AM,28.26,59.08,10,4.5
2012/03/08,2:01:43 AM,28.21,55.38,14,4.5
2012/03/07,6:57:44 AM,31.532,56.78,16.4,4.4
2012/03/05,7:30:15 PM,27.88,56.89,14.1,4
2012/02/28,6:51:09 PM,27.441,57.646,35,4.3
2012/02/27,6:48:55 PM,31.428,56.778,10,5.2
2012/02/15,6:57:36 PM,32.075,58.559,5,4.6
2012/01/09,7:53:35 PM,27.034,55.726,14.2,5.2
2011/12/20,4:46:33 AM,27.65,57.22,14,4.7
2011/12/19,1:52:56 AM,30.04,59.47,14.1,4.6
2011/12/16,9:10:44 PM,30.816,56.779,6,4.4
2011/12/10,4:13:51 PM,32.204,58.502,10,4.7
2011/11/21,1:56:42 AM,32.2,59.92,14.2,5
2011/11/20,7:20:17 AM,26.727,55.35,38.5,4.3
2011/11/20,12:40:59 AM,27.59,57.29,41,4.3
2011/11/13,2:11:06 PM,28.166,57.163,28.7,4.8
2011/11/13,8:00:15 AM,28.15,59.299,20,4.6
2011/10/20,6:57:26 AM,27.481,56.224,10,4.4
2011/10/04,9:44:23 AM,31.471,56.74,15,4.2
2011/09/23,10:12:41 PM,26.742,55.844,21.8,4
2011/09/19,10:30:53 PM,29.46,56.83,3,4.6
2011/09/05,6:45:02 PM,31.187,56.925,14.1,4
2011/09/04,4:41:45 PM,28.071,59.891,10,4.4
2011/08/21,1:54:45 AM,27.773,57.586,17,4
2011/08/15,10:44:34 AM,28.103,55.881,9.1,4.9
2011/08/09,7:25:09 PM,28.089,57.653,9.2,3.8
2011/08/02,6:08:32 PM,32.296,59.957,12.6,4.4
2011/07/29,1:42:28 PM,28.288,57.707,3.2,4
2011/07/28,10:27:23 PM,28.134,57.535,10,4.6
2011/07/28,10:27:14 PM,28.198,57.452,20,4.1
2011/07/26,4:58:48 AM,27.43,56.58,8.3,4
2011/07/21,3:09:26 AM,26.52,59.55,11,4.6
2011/07/01,5:22:37 AM,32.69,59.85,15,4.2
2011/06/26,8:17:56 PM,28.214,59.88,14.6,4.5
2011/06/26,7:47:00 PM,30.21,57.63,13,5.1
2011/06/26,10:45:24 AM,31.99,55.73,5,4
2011/06/15,2:46:03 AM,27.816,57.728,27.3,4.3
2011/06/15,2:35:53 AM,27.862,57.585,30.7,4
2011/06/15,2:00:57 AM,27.899,57.565,29.6,4.3
2011/06/15,1:15:17 AM,27.933,57.527,32,4.1
2011/06/15,1:12:50 AM,27.848,57.618,29.6,4
2011/06/15,1:10:55 AM,27.786,57.878,31,4.2
2011/06/15,1:05:31 AM,27.784,57.766,34,5.5
2011/06/15,1:03:22 AM,27.906,57.618,31.3,4.3
2011/04/30,8:55:13 AM,30.73,57.35,6,4.1
2011/04/13,3:37:10 AM,27.99,58.98,18,4.3
2011/04/11,12:02:20 PM,28.288,58.867,29.8,4.2
2011/03/22,2:32:11 AM,28.27,59.15,14.1,4.1
2011/03/21,6:02:25 AM,28.216,59.392,6.2,4.3
2011/03/18,9:49:56 PM,28.153,56.375,16.5,4.7
2011/03/18,2:26:09 AM,28.2,56.42,40,4
2011/03/14,7:55:09 AM,27.843,56.712,14.2,4.8
2011/03/05,8:42:54 PM,28.298,57.14,19.3,5.2
2011/02/23,3:26:01 AM,26.73,57.52,25.7,4.4
2011/02/06,8:13:12 AM,28.227,56.339,10,4.6
2011/01/30,5:56:10 PM,28.21,59.11,16,4.1
2011/01/29,2:56:19 PM,28.23,59.07,14.1,4
2011/01/29,4:43:19 AM,28.33,59.02,16,4.6
2011/01/29,12:50:18 AM,28.15,59.08,15,4.4
2011/01/28,12:41:24 PM,28.279,59.137,14.1,4.1
2011/01/28,6:34:04 AM,28.44,58.96,14,4
2011/01/28,5:06:50 AM,28.42,58.93,21,4.5
2011/01/28,4:20:36 AM,28.15,59.07,15,5.2
2011/01/27,9:49:46 PM,28.406,58.958,7,4
2011/01/27,3:01:43 PM,28.116,59.001,10,4.3
2011/01/27,9:07:55 AM,28.23,58.96,22,4.8
2011/01/27,8:43:27 AM,28.128,59.057,10,5
2011/01/27,8:38:28 AM,28.195,59.015,10,6.2
2011/01/27,7:18:16 AM,28.247,59.026,5,4
