date,latitude,longitude,depth,mag
2012/12/03 12:53:23,30.523,57.227,5,4.6
2012/10/27 20:54:59,29.371,56.874,98,4.5
2012/10/21 16:38:19,27.538,59.431,10,4.8
2012/09/21 3:28:30,32.14,58.48,6,4.6
2012/09/03 3:03:42,28.01,57.76,14.1,4.4
2012/09/02 0:50:00,33.474,59.897,12,5.1
2012/08/09 23:45:00,33.492,59.423,10,4.1
2012/07/12 23:49:28,27.016,59.33,10,4.1
2012/07/12 23:33:58,26.951,59.426,10,4.5
2012/07/12 21:18:27,27.02,55.02,10,4.5
2012/06/04 3:58:09,28.24,57.03,29,4
2012/05/14 10:12:32,27.955,57.722,2,5.1
2012/05/07 0:29:14,27.565,58.672,10,4.1
2012/04/29 11:58:42,28.811,57.421,90,4.4
2012/04/18 17:40:40,27.941,58.063,72.3,5.1
2012/03/26 0:06:19,27.721,58.834,74.6,4.9
2012/03/15 6:17:07,32.09,55,8,4.5
2012/03/11 5:00:06,28.26,59.08,10,4.5
2012/03/08 2:01:43,28.21,55.38,14,4.5
2012/03/07 6:57:44,31.532,56.78,16.4,4.4
2012/03/05 19:30:15,27.88,56.89,14.1,4
2012/02/28 18:51:09,27.441,57.646,35,4.3
2012/02/27 18:48:55,31.428,56.778,10,5.2
2012/02/15 18:57:36,32.075,58.559,5,4.6
2012/01/09 19:53:35,27.034,55.726,14.2,5.2
2011/12/20 4:46:33,27.65,57.22,14,4.7
2011/12/19 1:52:56,30.04,59.47,14.1,4.6
2011/12/16 21:10:44,30.816,56.779,6,4.4
2011/12/10 16:13:51,32.204,58.502,10,4.7
2011/11/21 1:56:42,32.2,59.92,14.2,5
2011/11/20 7:20:17,26.727,55.35,38.5,4.3
2011/11/20 0:40:59,27.59,57.29,41,4.3
2011/11/13 14:11:06,28.166,57.163,28.7,4.8
2011/11/13 8:00:15,28.15,59.299,20,4.6
2011/10/20 6:57:26,27.481,56.224,10,4.4
2011/10/04 9:44:23,31.471,56.74,15,4.2
2011/09/23 22:12:41,26.742,55.844,21.8,4
2011/09/19 22:30:53,29.46,56.83,3,4.6
2011/09/05 18:45:02,31.187,56.925,14.1,4
2011/09/04 16:41:45,28.071,59.891,10,4.4
2011/08/21 1:54:45,27.773,57.586,17,4
2011/08/15 10:44:34,28.103,55.881,9.1,4.9
2011/08/09 19:25:09,28.089,57.653,9.2,3.8
2011/08/02 18:08:32,32.296,59.957,12.6,4.4
2011/07/29 13:42:28,28.288,57.707,3.2,4
2011/07/28 22:27:23,28.134,57.535,10,4.6
2011/07/28 22:27:14,28.198,57.452,20,4.1
2011/07/26 4:58:48,27.43,56.58,8.3,4
2011/07/21 3:09:26,26.52,59.55,11,4.6
2011/07/01 5:22:37,32.69,59.85,15,4.2
2011/06/26 20:17:56,28.214,59.88,14.6,4.5
2011/06/26 19:47:00,30.21,57.63,13,5.1
2011/06/26 10:45:24,31.99,55.73,5,4
2011/06/15 2:46:03,27.816,57.728,27.3,4.3
2011/06/15 2:35:53,27.862,57.585,30.7,4
2011/06/15 2:00:57,27.899,57.565,29.6,4.3
2011/06/15 1:15:17,27.933,57.527,32,4.1
2011/06/15 1:12:50,27.848,57.618,29.6,4
2011/06/15 1:10:55,27.786,57.878,31,4.2
2011/06/15 1:05:31,27.784,57.766,34,5.5
2011/06/15 1:03:22,27.906,57.618,31.3,4.3
2011/04/30 8:55:13,30.73,57.35,6,4.1
2011/04/13 3:37:09,27.99,58.98,18,4.3
2011/04/11 12:02:20,28.288,58.867,29.8,4.2
2011/03/22 2:32:11,28.27,59.15,14.1,4.1
2011/03/21 6:02:25,28.216,59.392,6.2,4.3
2011/03/18 21:49:56,28.153,56.375,16.5,4.7
2011/03/18 2:26:09,28.2,56.42,40,4
2011/03/14 7:55:09,27.843,56.712,14.2,4.8
2011/03/05 20:42:54,28.298,57.14,19.3,5.2
2011/02/23 3:26:00,26.73,57.52,25.7,4.4
2011/02/06 8:13:12,28.227,56.339,10,4.6
2011/01/30 17:56:10,28.21,59.11,16,4.1
2011/01/29 14:56:19,28.23,59.07,14.1,4
2011/01/29 4:43:19,28.33,59.02,16,4.6
2011/01/29 0:50:18,28.15,59.08,15,4.4
2011/01/28 12:41:24,28.279,59.137,14.1,4.1
2011/01/28 6:34:04,28.44,58.96,14,4
2011/01/28 5:06:49,28.42,58.93,21,4.5
2011/01/28 4:20:36,28.15,59.07,15,5.2
2011/01/27 21:49:46,28.406,58.958,7,4
2011/01/27 15:01:43,28.116,59.001,10,4.3
2011/01/27 9:07:55,28.23,58.96,22,4.8
2011/01/27 8:43:27,28.128,59.057,10,5
2011/01/27 8:38:28,28.195,59.015,10,6.2
2011/01/27 7:18:16,28.247,59.026,5,4
2011/01/27 7:02:03,28.167,58.907,10,4.9
2011/01/18 11:34:09,28.21,56.38,22,4.5
2011/01/18 11:26:00,28.204,56.281,10,4.7
2011/01/02 15:23:46,28.262,59.308,10,4.1
2010/12/28 19:01:43,28.399,59.282,12.8,4.1
2010/12/25 22:24:17,28.435,59.058,43.6,4.2
2010/12/22 19:04:51,26.142,57.887,46.1,4.6
2010/12/21 12:14:18,28.161,59.058,10,4.3
2010/12/21 1:01:39,28.27,59.21,12,4.1
2010/12/20 23:49:11,28.433,59.045,34.3,4
2010/12/20 22:12:59,28.282,59.224,15,4.9
2010/12/20 18:56:54,28.402,58.942,10,4.2
2010/12/20 18:50:23,28.302,59.195,14.1,4.2
2010/12/20 18:41:59,28.412,59.18,12,6.7
2010/12/17 7:39:20,27.418,57.777,15,4.2
2010/11/24 0:38:36,30.825,56.764,1,4
2010/11/16 13:19:20,27.849,56.946,25.5,4.3
2010/11/14 14:49:27,26.398,57.223,10,4.5
2010/11/11 22:20:00,27.3,55.24,6,4.7
2010/11/11 13:37:34,27.892,56.995,26.9,4.9
2010/11/10 13:49:10,27.954,56.939,17,4.9
